Architect
in O'Neil Ford style,
in Mohammad Foyez Ullah style,
in Norman Foster style,
in Yona Friedman style,
in Maxwell Fry style,
in Buckminster Fuller style,
in Ignazio Gardella style,
in Antoni Gaudí style,
in Giuli Gegelia style,
in Frank Gehry style,
in Haralamb H. Georgescu style,
in Heydar Ghiai style,
in Cass Gilbert style,
in Moisei Ginzburg style,
in Romaldo Giurgola style,
in Hansjörg Göritz style,
in Bruce Goff style,
in Ernő Goldfinger style,
in Teodoro Gonzalez de Leon style,
in Bertram Goodhue style,
in Ferdinand Gottlieb style,
in Noemí Goytia style,
in Giorgio Grassi style,
in Michael Graves style,
in Charles Sumner Greene style,
in Henry Mather Greene style,
in Jules Gregory style,
in Vittorio Gregotti style,
in Walter Burley Griffin style,
in Sir Nicholas Grimshaw style,
in Walter Gropius style,
in Victor Gruen style,
in Hector Guimard style,
in Zaha Hadid style,
in Charles Haertling style,
in William John Hale style,
in Robert Bell Hamilton style,
in Halfdan M. Hanson style,
in Bashirul Haq style,
in Hugo Häring style,
in David M. Harper style,
in Wallace Harrison style,
in Francis R. Heakes style,
in John Hejduk style,
in Herman Hertzberger style,
in Heinz Hess style,
in Fernando Higueras style,
in Ludwig Hilberseimer style,
in Herbert Hirche style,
in Harold Frank Hoar style,
in Florence Fulton Hobson style,
in Charles Holden style,
in Hans Hollein style,
in Raymond Hood style,
in Sir Michael Hopkins style,
in Victor Horta style,
in Edith Hughes style,
in A. R. Hye style,
in Friedensreich Hundertwasser style,
in Wilbur R. Ingalls Jr. style,
in Muzharul Islam style,
in Arata Isozaki style,
in Arne Jacobsen style,
in Hugh Newell Jacobsen style,
in Helmut Jahn style,
in Peter Janesch style,
in Benno Janssen style,
in Pierre Jeanneret style,
in Peder Vilhelm Jensen-Klint style,
in Jon Jerde style,
in Philip Johnson style,
in Clarence H. Johnston Sr. style,
in E. Fay Jones style,
in Josep Maria Jujol style,
in Ryszard Jurkowski style,
in Albert Kahn style,
in Fazlur Rahman Khan style,
in Louis Kahn style,
in Maxwell M. Kalman style,
in Mariam Kamara style,
in Louis Kamper style,
in Jan Kaplický style,
in Katayama Tōkuma style,
in Oskar Kaufmann style,
in Kendrick Bangs Kellogg style,
in Raymond M. Kennedy style,
in Hugh T. Keyes style,
in Nader Khalili style,
in Edward Killingsworth style,
in Kim Swoo-geun style,
in Charles Klauder style,
in George Klenzendorff style,
in Michel de Klerk style,
in Ralph Knott style,
in Austin Eldon Knowlton style,
in Carl Koch style,
in Hans Kollhoff style,
in Musa Konsulova style,
in Rem Koolhaas style,
in Károly Kós style,
in Johannes Krahn style,
in Piet Kramer style,
in Léon Krier style,
in Kisho Kurokawa style,
in Edgar-Johan Kuusik style,
in Ivan Sergeyevich Kuznetsov style,
in Thomas W. Lamb style,
in G. Albert Lansburgh style,
in Eve Laron OAM style,
in Henning Larsen style,
in Sir Denys Lasdun style,
in Vilhelm Lauritzen style,
in John Lautner style,
in Ricardo Legorreta style,
in William Lescaze style,
in Jan Letzel style,
in Amanda Levete style,
in Sigurd Lewerentz style,
in Liang Sicheng style,
in Adalberto Libera style,
in Daniel Libeskind style,
in João Filgueiras Lima style,
in Maya Lin style,
in El Lissitzky style,
in Gordon W. Lloyd style,
in Leandro Locsin style,
in Elmar Lohk style,
in Adolf Loos style,
in Berthold Lubetkin style,
in Bill Lucas style,
in Hans Luckhardt style,
in Wassili Luckhardt style,
in Owen Luder style,
in Edwin Lutyens style,
in Ivar Lykke style,
in George Washington Maher style,
in Fumihiko Maki style,
in Charles Rennie Mackintosh style,
in Imre Makovecz style,
in Robert Mallet-Stevens style,
in Angelo Mangiarotti style,
in George R. Mann style,
in Robert Matthew style,
in George D. Mason style,
in Edward Maufe style,
in Bernard Maybeck style,
in Wayne McAllister style,
in Raymond McGrath style,
in Roy Mason style,
in François Massau, Belgium style,
in Richard Meier style,
in Konstantin Melnikov style,
in Erich Mendelsohn style,
in Paulo Mendes da Rocha style,
in Henry Mercer style,
in Geoffrey Harley Mewton style,
in Johan van der Mey style,
in Hannes Meyer style,
in Giovanni Michelucci style,
in Ludwig Mies van der Rohe style,
in Andrés Mignucci style,
in Vlado Milunić style,
in James Rupert Miller style,
in Dom Mintoff style,
in F. A. Minuth, American, New York City style,
in Hadi Mirmiran style,
in Enric Miralles style,
in Antonio Miró Montilla style,
in Samuel Mockbee style,
in Erik Møller style,
in Rafael Moneo style,
in Roger Montgomery style,
in Adolfo Moran style,
in Riccardo Morandi style,
in Luigi Moretti style,
in Arthur Cotton Moore style,
in Charles Willard Moore style,
in Lester S. Moore style,
in Julia Morgan style,
in Raymond Moriyama style,
in Eric Owen Moss style,
in Michel Mossessian style,
in Frederick Augustus Muhlenberg style,
in Glenn Murcutt style,
in C. F. Møller style,
in Barton Myers style,
in Robert Natus style,
in Pier Luigi Nervi style,
in Peter Newell style,
in Richard Neutra style,
in Ngo Viet Thu style,
in Oscar Niemeyer style,
in Enamul Karim Nirjhar style,
in Oscar Nitzchke style,
in Percy Erskine Nobbs style,
in Samuel Tilden Norton style,
in Ellice Nosworthy style,
in Jean Nouvel style,
in Martin Nyrop style,
in Gyo Obata style,
in Samuel Oghale Oboh style,
in John J. O'Malley style,
in Yafes Osman style,
in Frei Otto style,
in J.J.P. Oud style,
in Félix Candela Outeriño style,
in Paul Paget style,
in Henry style,
in Mustapha Khalid Palash style,
in Mihály style,
in John and Donald Parkinson style,
in John Pawson style,
in Arthur Peabody style,
in I. M. Pei style,
in César Pelli style,
in Hubert Petschnigg style,
in Frits Peutz style,
in Timothy L. Pflueger style,
in Renzo Piano style,
in Stjepan Planić style,
in Jože Plečnik style,
in Hans Poelzig style,
in Gino Pollini style,
in James Polshek style,
in Donald Perry Polsky style,
in Gio Ponti style,
in John Russell Pope style,
in John Portman style,
in Christian de Portzamparc style,
in George B. Post style,
in Fernand Pouillon style,
in Henry Price style,
in Alain Provost style,
in Freeman A. Pretzinger style,
in William Gray Purcell style,
in C. W. Rapp style,
in George L. Rapp style,
in Isaac Rapp style,
in Ralph Rapson style,
in Steen Eiler Rasmussen style,
in Antonin Raymond style,
in William J. Reese style,
in Affonso Eduardo Reidy style,
in Sir Charles Herbert Reilly style,
in Sir Albert Richardson style,
in Gerrit Rietveld style,
in Isabel Roberts style,
in Harry G. Robinson III style,
in Kevin Roche style,
in Ernesto Nathan Rogers style,
in Richard Rogers style,
in Mario Romañach style,
in Aldo Rossi style,
in Wirt C. Rowland style,
in Anne Marie Rubin style,
in Paul Rudolph style,
in Robert Tor Russell style,
in Eero Saarinen style,
in Eliel Saarinen style,
in Eugen Sacharias style,
in Moshe Safdie style,
in Paul Saintenoy style,
in Rogelio Salmona style,
in Guðjón Samúelsson style,
in João Santa-Rita style,
in Carlos A. Santos-Viola style,
in Louis Sauer style,
in Carlo Scarpa style,
in Hans Scharoun style,
in Rudolf Schindler style,
in Elisabeth Scott style,
in Frederic Schwartz style,
in Paul Schmitthenner style,
in Alexey Shchusev style,
in Margarete Schütte-Lihotzky style,
in Giles Gilbert Scott style,
in Harry Seidler style,
in Richard Seifert style,
in Joseph Lluís Sert style,
in H. Craig Severance style,
in Hooshang Seyhoun style,
in Arpan Shah style,
in Richard Sheppard style,
in Vladimir Shukhov style,
in Claudio Silvestrin style,
in Scott Simons style,
in Alvaro Siza style,
in Howard Dwight Smith style,
in George Washington Smith style,
in Alison Smithson style,
in Peter Smithson style,
in Charles B. J. Snyder style,
in Paolo Soleri style,
in Alejandro de la Sota style,
in Eduardo Souto de Moura style,
in Albert Speer style,
in Basil Spence style,
in Johann Otto von Spreckelsen style,
in Sheila Sri Prakash style,
in William L. Steele style,
in Andrew Steiner style,
in Rudolf Steiner style,
in Joseph Allen Stein style,
in Robert A.M. Stern style,
in John Calvin Stevens style,
in Sir James Stirling style,
in Edward Durrell Stone style,
in James Strutt style,
in Joseph Sunlight style,
in Kimiko Suzuki style,
in Roger Taillibert style,
in Benedetta Tagliabue style,
in Alexander Tamanyan style,
in Kenzo Tange style,
in Bruno Taut style,
in Max Taut style,
in Giuseppe Terragni style,
in Quinlan Terry style,
in Heinrich Tessenow style,
in Benjamin C. Thompson style,
in Edmund von Trompowsky style,
in Horace Trumbauer style,
in Bernard Tschumi style,
in Gilbert Stanley Underwood style,
in Jørn Utzon style,
in Vann Molyvann style,
in François Valentiny style,
in William van Alen style,
in Henry Van de Velde style,
in Henri van Dievoet style,
in Antoine Varlet style,
in Robert Venturi style,
in Miguel Vila Luna style,
in Carlos Raúl Villanueva style,
in Rafael Viñoly style,
in Roland Wank style,
in Paul Waterhouse style,
in Carlo Weber style,
in W. H. Weeks style,
in Carl Westman style,
in Paul Williams style,
in Clough Williams-Ellis style,
in Jan Wils style,
in George J. Wimberly style,
in James Wines style,
in Geoffrey Wooding style,
in Lebbeus Woods style,
in Frank Lloyd Wright style,
in Marcellus E. Wright Sr. style,
in Minoru Yamasaki style,
in F. R. S. Yorke style,
in Jean-François Zevaco style,
in Milan Zloković style,
in Peter Zumthor style,
in 21st-century architects style,
in Adolfo Moran style,
in Alessandro Caruso style,
in Alexandre Chan style,
in Andy Martin style,
in Antonio Citterio style,
in Arif Hasan style,
in Atsushi Kitagawara style,
in Basil Al Bayati style,
in Bernard Khoury style,
in Bjarke Ingels style,
in Cantarutti Robby style,
in Carol Ross Barney style,
in Christina Cho, Australia style,
in Christoph Ingenhoven style,
in Christopher Charles Benninger style,
in Craig W. Hartman style,
in Daniel Libeskind style,
in David Adjaye style,
in David M. Harper style,
in David Randall Hertz style,
in Dominique Gauzin-Müller style,
in Dy Proeung, Cambodia style,
in Eric Corey Freed style,
in Erick van Egeraat style,
in Eugene Pandala style,
in Greg Lynn style,
in Gregory Henriquez style,
in Günay Erdem style,
in Hafeez Contractor style,
in H. R. Hiegel style,
in Hidetsugu Aneha style,
in Hossein Amanat style,
in Ivan Harbour style,
in James Garrison style,
in Jeanne Gang style,
in Jimenez Lai style,
in Jing Liu style,
in Jun'ya Ishigami style,
in Kamel Mahadin style,
